"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Jan 13 10:42:37 CST 2021","Wed Jan 13 10:42:37 CST 2021","0","test_case","test_excel","TestExcel","","","实例-信息更新-入库审查状态","post https://192.168.1.205/api/cmdb/model/instance/audit/status/update"
"passed","Wed Jan 13 10:42:37 CST 2021","Wed Jan 13 10:42:37 CST 2021","0","test_case","test_excel","TestExcel","","","模型配置-关系管理列表","get https://192.168.1.205/api/cmdb/model/relation/list"
"passed","Wed Jan 13 10:42:37 CST 2021","Wed Jan 13 10:42:37 CST 2021","0","test_case","test_excel","TestExcel","","","角色-删除","post https://192.168.1.205/api/auth/role/batch/delete"
"passed","Wed Jan 13 10:42:37 CST 2021","Wed Jan 13 10:42:37 CST 2021","0","test_case","test_excel","TestExcel","","","凭证-规则关联实例列表","get https://192.168.1.205/api/cmdb/model/voucher/rule/relation/list"
"passed","Wed Jan 13 10:42:37 CST 2021","Wed Jan 13 10:42:37 CST 2021","0","test_case","test_excel","TestExcel","","","登录","post https://192.168.1.205/api/auth/user/login"
"passed","Wed Jan 13 10:42:37 CST 2021","Wed Jan 13 10:42:37 CST 2021","0","test_case","test_excel","TestExcel","","","配置中心-搜索凭证","get https://192.168.1.205/api/cmdb/model/instance/search/:id"
"passed","Wed Jan 13 10:42:37 CST 2021","Wed Jan 13 10:42:37 CST 2021","0","test_case","test_excel","TestExcel","","","网络设备-导入实例信息","get https://192.168.1.205/api/cmdb/model/instance/import/message"
"passed","Wed Jan 13 10:42:37 CST 2021","Wed Jan 13 10:42:37 CST 2021","0","test_case","test_excel","TestExcel","","","配置中心-采集项模型","get https://192.168.1.205/api/cmdb/model/base/list"
"passed","Wed Jan 13 10:42:37 CST 2021","Wed Jan 13 10:42:37 CST 2021","0","test_case","test_excel","TestExcel","","","角色-权限修改","post https://192.168.1.205/api/auth/role/auth/update"
"passed","Wed Jan 13 10:42:37 CST 2021","Wed Jan 13 10:42:37 CST 2021","0","test_case","test_excel","TestExcel","","","实例-目录树模型属性值枚举","get https://192.168.1.205/api/cmdb/model/instance/attr-value-distinct"
"passed","Wed Jan 13 10:42:37 CST 2021","Wed Jan 13 10:42:37 CST 2021","0","test_case","test_excel","TestExcel","","","模型设置-模型字段","post https://192.168.1.205/api/cmdb/model/attr/update"
"passed","Wed Jan 13 10:42:38 CST 2021","Wed Jan 13 10:42:38 CST 2021","0","test_case","test_excel","TestExcel","","","渠道队列","post https://192.168.1.205/api/auth/notify/channel/queue/delete"
